Using TensorFlow backend.
Loading caffemodel:  ./cnnseg/velodyne64/deploy.caffemodel
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 119 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 120 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 121 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 122 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 123 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 124 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 125 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 126 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 127 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 128 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 129 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 130 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 131 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 132 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 133 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 134 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 135 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 136 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 137 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 138 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 139 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 140 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 141 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 142 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 143 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 144 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 145 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 146 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 147 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 148 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 149 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 150 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 151 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 152 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 153 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 154 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 155 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 156 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 157 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 158 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 159 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 160 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 161 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 162 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 163 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 164 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 165 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 166 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 167 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 168 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 169 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 170 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 171 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 172 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 173 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 174 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 175 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 176 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 177 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 178 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 179 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 180 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 181 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 182 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 183 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 184 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 185 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 186 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 187 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 188 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 189 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 190 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 191 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 192 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 193 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 194 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 195 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 196 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 197 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 198 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 199 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 200 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 201 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 202 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 203 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 204 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 205 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 206 of 500***
Generation average: -0.91121, best fitness:  -0.91121
***Doing generation 207 of 500***
Generation average: -0.91121, best fitness:  -0.91120
***Doing generation 208 of 500***
Generation average: -0.91121, best fitness:  -0.91120
***Doing generation 209 of 500***
Generation average: -0.91121, best fitness:  -0.91120
***Doing generation 210 of 500***
Generation average: -0.91121, best fitness:  -0.91120
***Doing generation 211 of 500***
Generation average: -0.91121, best fitness:  -0.91120
***Doing generation 212 of 500***
Generation average: -0.91121, best fitness:  -0.91120
***Doing generation 213 of 500***
Generation average: -0.91121, best fitness:  -0.91120
***Doing generation 214 of 500***
Generation average: -0.91121, best fitness:  -0.91120
***Doing generation 215 of 500***
Generation average: -0.91121, best fitness:  -0.91120
***Doing generation 216 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 217 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 218 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 219 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 220 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 221 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 222 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 223 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 224 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 225 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 226 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 227 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 228 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 229 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 230 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 231 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 232 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 233 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 234 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 235 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 236 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 237 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 238 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 239 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 240 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 241 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 242 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 243 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 244 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 245 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 246 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 247 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 248 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 249 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 250 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 251 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 252 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 253 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 254 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 255 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 256 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 257 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 258 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 259 of 500***
Generation average: -0.91120, best fitness:  -0.91120
***Doing generation 260 of 500***
