Using TensorFlow backend.
Loading caffemodel:  ./cnnseg/velodyne64/deploy.caffemodel
***Doing generation 132 of 200***
Generation average: -0.24541, best fitness:  -0.24199
***Doing generation 133 of 200***
Generation average: -0.24460, best fitness:  -0.24123
***Doing generation 134 of 200***
Generation average: -0.24457, best fitness:  -0.24039
***Doing generation 135 of 200***
Generation average: -0.24382, best fitness:  -0.23978
***Doing generation 136 of 200***
Generation average: -0.24268, best fitness:  -0.23959
***Doing generation 137 of 200***
Generation average: -0.24148, best fitness:  -0.23959
***Doing generation 138 of 200***
Generation average: -0.24128, best fitness:  -0.23949
***Doing generation 139 of 200***
Generation average: -0.24075, best fitness:  -0.23944
***Doing generation 140 of 200***
Generation average: -0.24050, best fitness:  -0.23933
***Doing generation 141 of 200***
Generation average: -0.23996, best fitness:  -0.23743
***Doing generation 142 of 200***
Generation average: -0.23989, best fitness:  -0.23684
***Doing generation 143 of 200***
Generation average: -0.24032, best fitness:  -0.23672
***Doing generation 144 of 200***
Generation average: -0.23921, best fitness:  -0.23569
***Doing generation 145 of 200***
Generation average: -0.23874, best fitness:  -0.23530
***Doing generation 146 of 200***
Generation average: -0.23775, best fitness:  -0.23530
***Doing generation 147 of 200***
Generation average: -0.23756, best fitness:  -0.23530
***Doing generation 148 of 200***
Generation average: -0.23759, best fitness:  -0.23530
***Doing generation 149 of 200***
Generation average: -0.23690, best fitness:  -0.23455
***Doing generation 150 of 200***
Generation average: -0.23645, best fitness:  -0.23425
***Doing generation 151 of 200***
Generation average: -0.23569, best fitness:  -0.23393
***Doing generation 152 of 200***
Generation average: -0.23602, best fitness:  -0.23378
***Doing generation 153 of 200***
Generation average: -0.23533, best fitness:  -0.23182
***Doing generation 154 of 200***
Generation average: -0.23443, best fitness:  -0.23182
***Doing generation 155 of 200***
Generation average: -0.23395, best fitness:  -0.23182
***Doing generation 156 of 200***
Generation average: -0.23382, best fitness:  -0.23143
***Doing generation 157 of 200***
Generation average: -0.23346, best fitness:  -0.23143
***Doing generation 158 of 200***
Generation average: -0.23334, best fitness:  -0.23115
***Doing generation 159 of 200***
Generation average: -0.23289, best fitness:  -0.23064
***Doing generation 160 of 200***
Generation average: -0.23246, best fitness:  -0.22869
***Doing generation 161 of 200***
Generation average: -0.23188, best fitness:  -0.22817
***Doing generation 162 of 200***
Generation average: -0.23135, best fitness:  -0.22749
***Doing generation 163 of 200***
Generation average: -0.23135, best fitness:  -0.22749
***Doing generation 164 of 200***
Generation average: -0.23066, best fitness:  -0.22723
***Doing generation 165 of 200***
Generation average: -0.22956, best fitness:  -0.22712
***Doing generation 166 of 200***
Generation average: -0.22864, best fitness:  -0.22623
***Doing generation 167 of 200***
Generation average: -0.22813, best fitness:  -0.22623
***Doing generation 168 of 200***
Generation average: -0.22779, best fitness:  -0.22434
***Doing generation 169 of 200***
Generation average: -0.22760, best fitness:  -0.22434
***Doing generation 170 of 200***
Generation average: -0.22727, best fitness:  -0.22434
***Doing generation 171 of 200***
Generation average: -0.22746, best fitness:  -0.22434
***Doing generation 172 of 200***
Generation average: -0.22681, best fitness:  -0.22434
***Doing generation 173 of 200***
Generation average: -0.22645, best fitness:  -0.22434
***Doing generation 174 of 200***
Generation average: -0.22647, best fitness:  -0.22299
***Doing generation 175 of 200***
Generation average: -0.22634, best fitness:  -0.22270
***Doing generation 176 of 200***
Generation average: -0.22508, best fitness:  -0.22123
***Doing generation 177 of 200***
Generation average: -0.22460, best fitness:  -0.22123
***Doing generation 178 of 200***
Generation average: -0.22351, best fitness:  -0.21241
***Doing generation 179 of 200***
Generation average: -0.22284, best fitness:  -0.21235
***Doing generation 180 of 200***
Generation average: -0.22224, best fitness:  -0.20884
***Doing generation 181 of 200***
Generation average: -0.22081, best fitness:  -0.20884
***Doing generation 182 of 200***
Generation average: -0.22001, best fitness:  -0.20754
***Doing generation 183 of 200***
Generation average: -0.21807, best fitness:  -0.20666
***Doing generation 184 of 200***
Generation average: -0.21470, best fitness:  -0.20572
***Doing generation 185 of 200***
Generation average: -0.21100, best fitness:  -0.20572
***Doing generation 186 of 200***
Generation average: -0.20922, best fitness:  -0.20528
***Doing generation 187 of 200***
Generation average: -0.20785, best fitness:  -0.20528
***Doing generation 188 of 200***
