Using TensorFlow backend.
Loading caffemodel:  ./cnnseg/velodyne64/deploy.caffemodel
Generation average: -0.26461, best fitness:  -0.25013
***Doing generation 113 of 400***
Generation average: -0.26486, best fitness:  -0.25013
***Doing generation 114 of 400***
Generation average: -0.26222, best fitness:  -0.24925
***Doing generation 115 of 400***
Generation average: -0.25964, best fitness:  -0.24756
***Doing generation 116 of 400***
Generation average: -0.25672, best fitness:  -0.24756
***Doing generation 117 of 400***
Generation average: -0.25302, best fitness:  -0.24705
***Doing generation 118 of 400***
Generation average: -0.24997, best fitness:  -0.24559
***Doing generation 119 of 400***
Generation average: -0.24905, best fitness:  -0.24559
***Doing generation 120 of 400***
Generation average: -0.24745, best fitness:  -0.24360
***Doing generation 121 of 400***
Generation average: -0.24684, best fitness:  -0.24325
***Doing generation 122 of 400***
Generation average: -0.24614, best fitness:  -0.24115
***Doing generation 123 of 400***
Generation average: -0.24601, best fitness:  -0.24115
***Doing generation 124 of 400***
Generation average: -0.24381, best fitness:  -0.23922
***Doing generation 125 of 400***
Generation average: -0.24263, best fitness:  -0.23812
***Doing generation 126 of 400***
Generation average: -0.24135, best fitness:  -0.23809
***Doing generation 127 of 400***
Generation average: -0.24061, best fitness:  -0.23614
***Doing generation 128 of 400***
Generation average: -0.23962, best fitness:  -0.23614
***Doing generation 129 of 400***
Generation average: -0.23902, best fitness:  -0.23500
***Doing generation 130 of 400***
Generation average: -0.23764, best fitness:  -0.23499
***Doing generation 131 of 400***
Generation average: -0.23628, best fitness:  -0.23374
***Doing generation 132 of 400***
Generation average: -0.23589, best fitness:  -0.23374
***Doing generation 133 of 400***
Generation average: -0.23540, best fitness:  -0.23369
***Doing generation 134 of 400***
Generation average: -0.23487, best fitness:  -0.23346
***Doing generation 135 of 400***
Generation average: -0.23473, best fitness:  -0.23213
***Doing generation 136 of 400***
Generation average: -0.23400, best fitness:  -0.23213
***Doing generation 137 of 400***
Generation average: -0.23365, best fitness:  -0.23194
***Doing generation 138 of 400***
Generation average: -0.23387, best fitness:  -0.23190
***Doing generation 139 of 400***
Generation average: -0.23350, best fitness:  -0.23177
***Doing generation 140 of 400***
